PlayerN;Player;NationN;Nation;Pos;SquadN;Squad;90s;Tkl;TklW;Def3rdTkl;Mid3rdTkl;Att3rdTkl;TotPress;SuccPres;PressRt;Def3rdPress;Mid3rdPress;Att3rdPress;BlocksBl;BlocksSh;BlocksShT;BlocksPass;Int;TklInt;Clr;Err
Brenden Aaronson\5bc43860;Brenden Aaronson;us USA;USA;MF;at RB Salzburg;RB Salzburg;7.9;10;9;2;4;4;216;64;29.6;31;102;83;7;1;0;6;5;15;6;0
Malik Abubakari\47aaf574;Malik Abubakari;gh GHA;GHA;FW;se Malmö;Malmö;1.3;2;1;1;1;0;18;3;16.7;6;6;6;1;0;0;1;0;2;2;0
Marcos Acuña\81442ecb;Marcos Acuña;ar ARG;ARG;DF;es Sevilla;Sevilla;4.2;14;10;7;5;2;53;20;37.7;22;27;4;6;1;0;5;12;26;2;0
Tyler Adams\2b09d998;Tyler Adams;us USA;USA;MF;de RB Leipzig;RB Leipzig;3.3;9;4;4;2;3;94;28;29.8;24;57;13;9;2;0;7;3;12;1;0
Chikwubuike Adamu\82e12fe7;Chikwubuike Adamu;at AUT;AUT;FW;at RB Salzburg;RB Salzburg;2.6;2;1;1;0;1;48;13;27.1;2;18;28;1;0;0;1;3;5;0;0
Antonio Adán\65d62814;Antonio Adán;es ESP;ESP;GK;pt Sporting CP;Sporting CP;7.0;0;0;0;0;0;3;0;0.0;3;0;0;0;0;0;0;0;0;0;0
Edmund Addo\6af56975;Edmund Addo;gh GHA;GHA;MF;md Sheriff Tiraspol;Sheriff Tiraspol;5.4;18;13;14;4;0;136;31;22.8;90;41;5;14;4;0;10;20;38;1;0
Karim Adeyemi\501055d8;Karim Adeyemi;de GER;GER;FW;at RB Salzburg;RB Salzburg;6.7;3;3;2;1;0;108;27;25.0;10;40;58;5;0;0;5;3;6;0;0
Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;ch Young Boys;Young Boys;5.6;14;9;4;5;5;73;24;32.9;24;33;16;5;1;0;4;9;23;4;0
Sergio Agüero\4d034881;Sergio Agüero;ar ARG;ARG;FW;es Barcelona;Barcelona;0.2;0;0;0;0;0;1;0;0.0;0;0;1;0;0;0;0;0;0;0;0
Anel Ahmedhodzic\eab957a3;Anel Ahmedhodzic;ba BIH;BIH;DF;se Malmö;Malmö;4.6;5;3;4;0;1;44;19;43.2;29;9;6;10;4;0;6;12;17;22;0
Manuel Akanji\89ac64a6;Manuel Akanji;ch SUI;SUI;DF;de Dortmund;Dortmund;5.0;6;4;4;2;0;47;21;44.7;26;20;1;14;1;0;13;14;20;10;0
Nathan Aké\eaeca114;Nathan Aké;nl NED;NED;DF;eng Manchester City; Manchester City;3.6;3;1;2;1;0;31;9;29.0;14;13;4;2;1;0;1;13;16;19;0
David Alaba\05439de2;David Alaba;at AUT;AUT;DF;es Real Madrid;Real Madrid;10.0;14;7;8;5;1;97;29;29.9;51;36;10;10;5;0;5;7;21;29;0
Jordi Alba\4601e194;Jordi Alba;es ESP;ESP;DF;es Barcelona;Barcelona;4.1;3;2;0;3;0;53;16;30.2;15;31;7;8;0;0;8;7;10;4;0
Raúl Albiol\4bd414c1;Raul Albiol;es ESP;ESP;DF;es Villarreal;Villarreal;9.7;12;9;8;4;0;65;34;52.3;40;23;2;21;13;1;8;21;33;41;0
Paco Alcácer\a7a9d95a;Paco Alcácer;es ESP;ESP;FW;es Villarreal;Villarreal;0.6;1;1;0;1;0;9;2;22.2;1;3;5;0;0;0;0;0;1;0;0
Thiago Alcántara\77e84962;Thiago Alcántara;es ESP;ESP;MF;eng Liverpool; Liverpool;4.0;14;11;3;8;3;88;27;30.7;14;44;30;1;0;0;1;11;25;9;1
Trent Alexander-Arnold\cd1acf9d;Trent Alexander-Arnold;eng ENG; ENG;DF;eng Liverpool; Liverpool;5.9;6;5;3;1;2;42;15;35.7;18;7;17;10;0;0;10;11;17;11;0
Alisson\7a2e46a8;Alisson;br BRA;BRA;GK;eng Liverpool; Liverpool;10.0;0;0;0;0;0;1;0;0.0;1;0;0;1;0;0;1;0;0;0;1
