PlayerN;Player;NationN;Nation;Pos;SquadN;Squad;AgeN;Age;90s;SCA;SCA90;PassLive;PassDead;DribSCA;ShSCA;FldSCA;DefSCA;GCA;GCA90;PassLive;PassDead;DribGCA;ShGCA;FldGCA;Def
Brenden Aaronson\5bc43860;Brenden Aaronson;us USA;USA;MF;at RB Salzburg;RB Salzburg;21-174;21;7.9;20;2.52;15;2;1;1;1;0;5;0.63;5;0;0;0;0;0
Malik Abubakari\47aaf574;Malik Abubakari;gh GHA;GHA;FW;se Malmö;Malmö;21-339;21;1.3;1;0.76;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0
Marcos Acuña\81442ecb;Marcos Acuña;ar ARG;ARG;DF;es Sevilla;Sevilla;30-168;30;4.2;14;3.33;8;5;1;0;0;0;0;0.00;0;0;0;0;0;0
Tyler Adams\2b09d998;Tyler Adams;us USA;USA;MF;de RB Leipzig;RB Leipzig;23-059;23;3.3;2;0.61;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0
Chikwubuike Adamu\82e12fe7;Chikwubuike Adamu;at AUT;AUT;FW;at RB Salzburg;RB Salzburg;20-312;20;2.6;5;1.90;4;0;0;0;1;0;0;0.00;0;0;0;0;0;0
Antonio Adán\65d62814;Antonio Adán;es ESP;ESP;GK;pt Sporting CP;Sporting CP;34-336;34;7.0;2;0.29;0;2;0;0;0;0;0;0.00;0;0;0;0;0;0
Edmund Addo\6af56975;Edmund Addo;gh GHA;GHA;MF;md Sheriff Tiraspol;Sheriff Tiraspol;21-332;21;5.4;7;1.29;6;0;0;0;0;1;0;0.00;0;0;0;0;0;0
Karim Adeyemi\501055d8;Karim Adeyemi;de GER;GER;FW;at RB Salzburg;RB Salzburg;20-086;20;6.7;20;2.99;11;0;2;1;6;0;4;0.60;2;0;0;0;2;0
Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;ch Young Boys;Young Boys;25-098;25;5.6;15;2.69;7;6;0;1;0;1;2;0.36;1;1;0;0;0;0
Sergio Agüero\4d034881;Sergio Agüero;ar ARG;ARG;FW;es Barcelona;Barcelona;33-316;33;0.2;1;5.63;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0
