PlayerN;Player;NationN;Nation;Pos;SquadN;Squad;AgeN;Age;90s;Touch;DefPenTch;Def3rdTch;Mid3rdTch;Att3rdTch;AttPenTch;LiveTch;SuccDrib;AttDrib;SuccRt;Carries;TotDistCarr;PrgDistCarr;ProgCarr;1/3Carr;CPA;Mis;Dis;TargRec;Rec;RecRt;ProgRec;Matches
Brenden Aaronson\5bc43860;Brenden Aaronson;us USA;USA;MF;at RB Salzburg;RB Salzburg;21-174;21;7.9;354;5;50;167;164;15;323;6;13;46.2;230;1062;519;29;9;5;26;22;354;224;63.3;49;Matches
Malik Abubakari\47aaf574;Malik Abubakari;gh GHA;GHA;FW;se Malmö;Malmö;21-339;21;1.3;52;3;10;23;20;2;50;0;1;0.0;34;103;19;0;0;0;4;3;55;35;63.6;3;Matches
Marcos Acuña\81442ecb;Marcos Acuña;ar ARG;ARG;DF;es Sevilla;Sevilla;30-168;30;4.2;377;11;120;205;86;1;318;4;9;44.4;257;1253;783;31;12;0;5;8;265;248;93.6;5;Matches
Tyler Adams\2b09d998;Tyler Adams;us USA;USA;MF;de RB Leipzig;RB Leipzig;23-059;23;3.3;204;6;54;130;34;2;203;3;6;50.0;145;645;337;11;2;1;2;2;144;138;95.8;2;Matches
Chikwubuike Adamu\82e12fe7;Chikwubuike Adamu;at AUT;AUT;FW;at RB Salzburg;RB Salzburg;20-312;20;2.6;97;0;8;40;54;10;97;3;8;37.5;72;266;162;5;1;0;13;11;127;73;57.5;25;Matches
Antonio Adán\65d62814;Antonio Adán;es ESP;ESP;GK;pt Sporting CP;Sporting CP;34-336;34;7.0;252;229;252;2;0;0;186;0;0;;120;504;260;0;0;0;0;0;109;109;100.0;0;Matches
Edmund Addo\6af56975;Edmund Addo;gh GHA;GHA;MF;md Sheriff Tiraspol;Sheriff Tiraspol;21-332;21;5.4;202;17;100;103;15;0;199;4;6;66.7;131;823;396;8;3;0;4;5;102;95;93.1;0;Matches
Karim Adeyemi\501055d8;Karim Adeyemi;de GER;GER;FW;at RB Salzburg;RB Salzburg;20-086;20;6.7;190;3;15;64;136;44;186;10;30;33.3;160;973;654;40;14;15;22;16;287;147;51.2;70;Matches
Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;ch Young Boys;Young Boys;25-098;25;5.6;337;8;78;187;100;5;322;4;7;57.1;218;1003;625;26;5;2;7;11;250;227;90.8;18;Matches
Sergio Agüero\4d034881;Sergio Agüero;ar ARG;ARG;FW;es Barcelona;Barcelona;33-316;33;0.2;8;0;0;3;5;1;8;2;3;66.7;7;17;12;2;0;0;0;0;12;6;50.0;0;Matches
Anel Ahmedhodzic\eab957a3;Anel Ahmedhodzic;ba BIH;BIH;DF;se Malmö;Malmö;23-019;23;4.6;279;40;145;138;11;0;270;1;1;100.0;163;820;524;10;1;0;2;2;181;176;97.2;0;Matches
Manuel Akanji\89ac64a6;Manuel Akanji;ch SUI;SUI;DF;de Dortmund;Dortmund;26-269;26;5.0;340;54;188;166;14;4;331;0;0;;216;1337;771;18;3;0;0;0;241;236;97.9;0;Matches
Nathan Aké\eaeca114;Nathan Aké;nl NED;NED;DF;eng Manchester City; Manchester City;27-055;27;3.6;322;28;136;190;31;7;301;0;1;0.0;215;1208;849;11;4;0;0;1;238;232;97.5;2;Matches
David Alaba\05439de2;David Alaba;at AUT;AUT;DF;es Real Madrid;Real Madrid;29-294;29;10.0;675;104;366;298;70;11;651;1;1;100.0;490;3094;1592;28;8;0;3;0;539;528;98.0;8;Matches
Jordi Alba\4601e194;Jordi Alba;es ESP;ESP;DF;es Barcelona;Barcelona;33-024;33;4.1;391;9;62;201;147;10;352;1;1;100.0;257;893;515;21;9;3;2;2;327;297;90.8;18;Matches
Raúl Albiol\4bd414c1;Raúl Albiol;es ESP;ESP;DF;es Villarreal;Villarreal;36-222;36;9.7;492;114;322;200;5;1;478;1;1;100.0;283;1813;1045;7;0;0;1;1;311;306;98.4;0;Matches
Paco Alcácer\a7a9d95a;Paco Alcácer;es ESP;ESP;FW;es Villarreal;Villarreal;28-227;28;0.6;11;0;0;5;7;4;10;0;0;;6;46;30;1;1;0;0;0;20;8;40.0;1;Matches
Thiago Alcántara\77e84962;Thiago Alcántara;es ESP;ESP;MF;eng Liverpool; Liverpool;31-003;31;4.0;382;15;76;247;88;4;377;4;9;44.4;263;1025;533;22;11;0;3;7;294;279;94.9;9;Matches
Trent Alexander-Arnold\cd1acf9d;Trent Alexander-Arnold;eng ENG; ENG;DF;eng Liverpool; Liverpool;23-189;23;5.9;625;12;111;339;206;9;527;2;4;50.0;402;1488;801;32;9;2;8;4;459;434;94.6;11;Matches
Alisson\7a2e46a8;Alisson;br BRA;BRA;GK;eng Liverpool; Liverpool;29-194;29;10.0;432;330;430;3;0;0;367;1;1;100.0;269;913;455;0;0;0;0;0;263;262;99.6;0;Matches
André Almeida\67b3d74b;André Almeida;pt POR;POR;DF;pt Benfica;Benfica;31-216;31;2.6;136;18;64;65;15;1;127;0;2;0.0;78;268;117;2;3;0;1;0;81;80;98.8;0;Matches
Marcos Alonso\f4290206;Marcos Alonso;es ESP;ESP;DF;eng Chelsea; Chelsea;31-107;31;6.1;464;5;88;177;230;19;375;5;10;50.0;272;1139;550;29;12;1;6;11;317;278;87.7;36;Matches
Éder Álvarez Balanta\8ce30c57;Éder Álvarez Balanta;co COL;COL;MF;be Club Brugge;Club Brugge;29-045;29;4.5;211;19;84;101;39;4;209;5;7;71.4;107;585;252;9;5;0;6;6;100;89;89.0;4;Matches
Edson Álvarez\8b3ab7ad;Edson Álvarez;mx MEX;MEX;MF;nl Ajax;Ajax;24-172;24;6.2;446;20;120;268;87;11;439;1;4;25.0;280;1294;544;14;6;0;5;7;328;316;96.3;12;Matches
Mohamed Aly Camara\24fc70d3;Mohamed Aly Camara;gn GUI;GUI;DF;ch Young Boys;Young Boys;24-229;24;3.8;255;41;134;130;7;2;251;1;2;50.0;155;862;444;16;4;0;2;1;174;174;100.0;0;Matches
Benjamin André\ef9c1c95;Benjamin André;fr FRA;FRA;MF;fr Lille;Lille;31-254;31;7.0;463;12;86;302;93;4;457;5;12;41.7;256;964;379;18;5;0;6;7;345;296;85.8;17;Matches
Oleksandr Andriyevskyi\4e3f5992;Oleksandr Andriyevskyi;ua UKR;UKR;MF;ua Dynamo Kyiv;Dynamo Kyiv;27-293;27;1.1;62;8;30;20;14;0;60;0;0;;34;135;80;2;1;0;3;0;43;38;88.4;1;Matches
Angeliño\30941e96;Angeliño;es ESP;ESP;DF;de RB Leipzig;RB Leipzig;25-100;25;4.8;278;8;69;116;106;10;226;3;6;50.0;165;716;430;16;5;2;3;3;185;168;90.8;11;Matches
