PlayerN;Player;NationN;Nation;Pos;SquadN;Squad;AgeN;Age;MP;Starts;Min;90s;Gls;Ast;GmPK;PK;PKatt;CrdY;CrdR;GlsPer90;AstPer90;GpAPer90;GmPKPer90;GpAmPKPer90;xG;npxG;xA;npxGxA;xGPer90;xAPer90;xGxAPer90;npxGPer90;npxGxAPer90
Brenden Aaronson\5bc43860;Brenden Aaronson;us USA;USA;MF;at RB Salzburg;RB Salzburg;21-174;21;8;8;714;7.9;0;2;0;0;0;0;0;0.00;0.25;0.25;0.00;0.25;0.6;0.6;1.0;1.6;0.08;0.13;0.20;0.08;0.20
Malik Abubakari\47aaf574;Malik Abubakari;gh GHA;GHA;FW;se Malmö;Malmö;21-339;21;4;0;119;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.07;0.02;0.10;0.07;0.10
Marcos Acuña\81442ecb;Marcos Acuña;ar ARG;ARG;DF;es Sevilla;Sevilla;30-168;30;5;5;378;4.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.6;0.6;0.00;0.14;0.14;0.00;0.14
Tyler Adams\2b09d998;Tyler Adams;us USA;USA;MF;de RB Leipzig;RB Leipzig;23-059;23;5;3;293;3.3;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00
Chikwubuike Adamu\82e12fe7;Chikwubuike Adamu;at AUT;AUT;FW;at RB Salzburg;RB Salzburg;20-312;20;8;1;237;2.6;1;0;1;0;0;0;0;0.38;0.00;0.38;0.38;0.38;0.6;0.6;0.2;0.8;0.24;0.08;0.32;0.24;0.32
Antonio Adán\65d62814;Antonio Adán;es ESP;ESP;GK;pt Sporting CP;Sporting CP;34-336;34;7;7;630;7.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.02;0.02;0.00;0.02
Edmund Addo\6af56975;Edmund Addo;gh GHA;GHA;MF;md Sheriff Tiraspol;Sheriff Tiraspol;21-332;21;6;6;488;5.4;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.3;0.00;0.05;0.05;0.00;0.05
Karim Adeyemi\501055d8;Karim Adeyemi;de GER;GER;FW;at RB Salzburg;RB Salzburg;20-086;20;8;8;602;6.7;3;1;1;2;3;2;0;0.45;0.15;0.60;0.15;0.30;3.9;1.6;1.1;2.7;0.59;0.16;0.75;0.25;0.40
Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;ch Young Boys;Young Boys;25-098;25;6;6;502;5.6;0;1;0;0;0;2;0;0.00;0.18;0.18;0.00;0.18;0.3;0.3;0.8;1.1;0.05;0.15;0.20;0.05;0.20
Sergio Agüero\4d034881;Sergio Agüero;ar ARG;ARG;FW;es Barcelona;Barcelona;33-316;33;1;0;16;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.12;0.00;0.12;0.12;0.12
Anel Ahmedhodzic\eab957a3;Anel Ahmedhodzic;ba BIH;BIH;DF;se Malmö;Malmö;23-019;23;5;5;412;4.6;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.01;0.01;0.00;0.01
Manuel Akanji\89ac64a6;Manuel Akanji;ch SUI;SUI;DF;de Dortmund;Dortmund;26-269;26;5;5;450;5.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.01;0.02;0.03;0.01;0.03
Nathan Aké\eaeca114;Nathan Aké;nl NED;NED;DF;eng Manchester City; Manchester City;27-055;27;6;3;326;3.6;1;0;1;0;0;1;0;0.28;0.00;0.28;0.28;0.28;0.5;0.5;0.0;0.5;0.13;0.01;0.14;0.13;0.14
David Alaba\05439de2;David Alaba;at AUT;AUT;DF;es Real Madrid;Real Madrid;29-294;29;10;10;904;10.0;1;0;1;0;0;1;0;0.10;0.00;0.10;0.10;0.10;0.1;0.1;0.4;0.5;0.01;0.04;0.05;0.01;0.05
Jordi Alba\4601e194;Jordi Alba;es ESP;ESP;DF;es Barcelona;Barcelona;33-024;33;5;5;373;4.1;0;1;0;0;0;0;0;0.00;0.24;0.24;0.00;0.24;0.2;0.2;0.8;1.0;0.05;0.19;0.24;0.05;0.24
