RkLeag;Squad;MP;W;D;L;GF;GA;GD;Pts;xG;xGA;xGD;xGD/90;Attendance
1;Milan;38;26;8;4;69;31;38;86;63.1;34.8;+28.3;+0.74;42388
2;Inter;38;25;9;4;84;32;52;84;81.4;39.2;+42.2;+1.11;41407
3;Napoli;38;24;7;7;74;31;43;79;59.4;31.9;+27.6;+0.73;26681
4;Juventus;38;20;10;8;57;37;20;70;51.5;38.0;+13.4;+0.35;21627
5;Lazio;38;18;10;10;77;58;19;64;55.8;48.3;+7.6;+0.20;21235
6;Roma;38;18;9;11;59;43;16;63;63.7;38.5;+25.2;+0.66;40745
7;Fiorentina;38;19;5;14;59;51;8;62;58.8;44.1;+14.7;+0.39;19801
8;Atalanta;38;16;11;11;65;48;17;59;66.2;45.2;+20.9;+0.55;10047
9;Hellas Verona;38;14;11;13;65;59;6;53;51.8;48.9;+2.9;+0.08;12343
10;Torino;38;13;11;14;46;41;5;50;48.8;39.9;+8.9;+0.23;9160
11;Sassuolo;38;13;11;14;64;66;-2;50;56.0;67.0;-10.9;-0.29;7638
12;Udinese;38;11;14;13;61;58;3;47;53.1;52.0;+1.0;+0.03;11655
13;Bologna;38;12;10;16;44;55;-11;46;44.1;54.2;-10.1;-0.27;13845
14;Empoli;38;10;11;17;50;70;-20;41;46.6;67.8;-21.2;-0.56;6320
15;Sampdoria;38;10;6;22;46;63;-17;36;37.0;58.5;-21.5;-0.57;8756
16;Spezia;38;10;6;22;41;71;-30;36;39.3;67.6;-28.3;-0.74;6380
17;Salernitana;38;7;10;21;33;78;-45;31;37.7;65.9;-28.2;-0.74;12900
18;Cagliari;38;6;12;20;34;68;-34;30;39.5;61.5;-22.0;-0.58;9400
19;Genoa;38;4;16;18;27;60;-33;28;37.8;51.6;-13.8;-0.36;11628
20;Venezia;38;6;9;23;34;69;-35;27;36.1;72.6;-36.5;-0.96;6705
