Squad;Poss;TotTouc;DefPenTouc;Def3rdTouc;Mid3rdTouc;Att3rdTouc;AttPenTouc;LiveTouc;SuccDrib;AttDrib;SuccDribRt;Megs;TotCarr;TotDistCarr;PrgDistCarr;ProgCarr;1/3Carr;CPA;MisCarr;DisCarr;TargRec;SucRec;RecRt;ProgRec
Atalanta;55.1;25821;2064;7180;12228;8051;1291;24018;354;668;53.0;30;17087;88000;45197;1963;611;238;539;492;19604;17273;88.1;1601
Bologna;50.7;22401;2822;7886;10548;5307;717;20548;315;576;54.7;28;13961;71591;36030;1385;453;105;488;349;17023;14594;85.7;1120
Cagliari;44.4;19939;2616;7159;9206;4681;709;18034;227;412;55.1;18;11432;59882;31031;1135;384;89;460;361;14159;11661;82.4;915
Empoli;47.1;21081;3051;7628;9198;5700;919;19160;236;494;47.8;23;12916;74232;40774;1462;476;129;449;456;15342;12942;84.4;1271
Fiorentina;58.2;24774;2725;8566;11730;6201;1031;22977;284;527;53.9;34;16737;88693;46950;1733;585;193;476;396;19963;17554;87.9;1267
Genoa;43.9;20485;2567;7239;9585;4720;771;18630;285;552;51.6;29;11388;56430;29273;1158;350;146;559;457;14076;11422;81.1;1022
Hellas Verona;50.6;22022;2369;6889;10483;5966;987;20271;291;562;51.8;47;13259;70181;36296;1452;510;178;517;480;15751;13280;84.3;1351
Inter;56.6;25816;2874;8611;11769;7122;1294;24239;239;434;55.1;23;17218;91900;47910;1739;575;197;409;347;20564;18505;90.0;1515
Juventus;51.7;24111;2770;8203;11754;5663;968;22473;290;537;54.0;34;15738;78098;40614;1560;493;181;498;426;18687;16521;88.4;1276
Lazio;55.6;26981;2789;8676;13603;6343;908;25353;322;620;51.9;36;18488;89501;47778;1785;597;180;426;359;21877;19694;90.0;1235
Milan;54.2;23604;2348;7524;11306;6412;1080;21940;441;754;58.5;40;15532;86577;47178;1748;579;196;503;397;18076;15788;87.3;1350
Napoli;58.5;26775;2503;8108;13264;7084;1067;25078;319;546;58.4;17;18232;92214;50153;2030;611;255;383;400;21873;19698;90.1;1342
Roma;51.4;23026;2244;7560;11145;5806;1051;21223;297;613;48.5;34;14692;78241;42466;1673;531;181;466;374;17566;15337;87.3;1296
Salernitana;41.0;18914;2549;6602;8639;4849;786;17059;310;588;52.7;39;10584;57759;30169;1147;405;106;482;393;13218;10842;82.0;943
Sampdoria;45.9;21125;2890;7886;9605;4758;695;19348;228;425;53.6;16;12837;62345;30925;1112;368;87;404;347;15524;12996;83.7;1133
Sassuolo;55.2;24649;3017;8730;11767;5825;910;22862;337;626;53.8;37;16842;90318;49332;1838;600;219;515;434;19265;17195;89.3;1373
Spezia;42.7;19840;2853;7840;8739;4439;681;18065;265;500;53.0;29;11799;61237;30425;1099;377;135;484;459;14115;11759;83.3;885
Torino;53.6;22422;2248;6666;10848;6308;864;20752;259;488;53.1;15;13912;73780;37634;1566;543;170;550;353;16699;14152;84.7;1082
Udinese;42.3;19772;2566;6998;8728;5309;960;18029;352;679;51.8;40;11894;65532;37582;1502;481;190;480;448;14268;11792;82.6;966
Venezia;42.1;19876;3285;8507;8444;4150;605;18159;295;544;54.2;33;11676;62628;33821;1093;375;105;436;447;14091;11662;82.8;882
