Squad;Age;Poss;PerGls;PerAst;PerGmPK;PerPK;PerPKatt;CrdY;CrdR;Per90Gls;Per90Ast;PerGpA;PerGmPK;PerGpAmPK;PerxG;PernpxG;PerxA;PernpxGpxA;Per90xG;Per90xA;Per90xGpxA;Per90npxG;Per90npxGxA
Atalanta;27.5;55.1;62;48;57;5;6;87;2;1.63;1.26;2.89;1.50;2.76;66.2;61.8;49.2;111.1;1.74;1.30;3.04;1.63;2.92
Bologna;26.6;50.7;43;34;39;4;5;92;7;1.13;0.89;2.03;1.03;1.92;44.1;40.4;31.4;71.8;1.16;0.83;1.99;1.06;1.89
Cagliari;26.5;44.4;34;26;31;3;4;96;5;0.89;0.68;1.58;0.82;1.50;39.5;36.8;27.9;64.7;1.04;0.73;1.77;0.97;1.70
Empoli;24.5;47.1;47;27;40;7;7;87;5;1.24;0.71;1.95;1.05;1.76;46.6;41.3;29.0;70.3;1.23;0.76;1.99;1.09;1.85
Fiorentina;26.4;58.2;59;33;50;9;12;89;8;1.55;0.87;2.42;1.32;2.18;58.8;49.8;37.1;86.9;1.55;0.98;2.52;1.31;2.29
Genoa;27.0;43.9;26;19;20;6;7;92;3;0.68;0.50;1.18;0.53;1.03;37.8;32.5;25.2;57.7;0.99;0.66;1.66;0.85;1.52
Hellas Verona;26.8;50.6;63;44;56;7;8;100;7;1.66;1.16;2.82;1.47;2.63;51.8;45.9;34.7;80.5;1.36;0.91;2.28;1.21;2.12
Inter;28.9;56.6;83;57;76;7;11;71;0;2.18;1.50;3.68;2.00;3.50;81.4;73.5;56.9;130.4;2.14;1.50;3.64;1.93;3.43
Juventus;27.4;51.7;56;37;51;5;6;77;2;1.47;0.97;2.45;1.34;2.32;51.5;46.9;34.9;81.9;1.35;0.92;2.27;1.24;2.15
Lazio;29.0;55.6;74;48;67;7;9;88;5;1.95;1.26;3.21;1.76;3.03;55.8;49.1;38.2;87.3;1.47;1.01;2.48;1.29;2.30
Milan;25.6;54.2;66;39;61;5;8;76;3;1.74;1.03;2.76;1.61;2.63;63.1;57.6;43.0;100.6;1.66;1.13;2.79;1.52;2.65
Napoli;27.9;58.5;74;46;64;10;14;63;2;1.95;1.21;3.16;1.68;2.89;59.4;48.7;37.4;86.2;1.56;0.99;2.55;1.28;2.27
Roma;26.4;51.4;58;31;51;7;9;111;8;1.53;0.82;2.34;1.34;2.16;63.7;57.0;39.7;96.7;1.68;1.04;2.72;1.50;2.54
Salernitana;27.7;41.0;32;19;28;4;5;94;5;0.84;0.50;1.34;0.74;1.24;37.7;34.0;23.3;57.3;0.99;0.61;1.61;0.89;1.51
Sampdoria;29.0;45.9;42;29;40;2;4;94;4;1.11;0.76;1.87;1.05;1.82;37.0;33.8;24.7;58.4;0.97;0.65;1.62;0.89;1.54
Sassuolo;26.1;55.2;60;39;53;7;7;92;4;1.58;1.03;2.61;1.39;2.42;56.0;50.8;38.8;89.6;1.47;1.02;2.50;1.34;2.36
Spezia;24.4;42.7;38;25;35;3;5;88;4;1.00;0.66;1.66;0.92;1.58;39.3;35.6;26.4;62.0;1.03;0.69;1.73;0.94;1.63
Torino;25.2;53.6;43;27;37;6;6;89;3;1.13;0.71;1.84;0.97;1.68;48.8;44.2;33.6;77.8;1.28;0.88;2.17;1.16;2.05
Udinese;26.3;42.3;58;36;55;3;4;95;6;1.53;0.95;2.47;1.45;2.39;53.1;50.1;36.2;86.3;1.40;0.95;2.35;1.32;2.27
Venezia;26.1;42.1;34;23;31;3;5;110;9;0.89;0.61;1.50;0.82;1.42;36.1;32.2;25.3;57.5;0.95;0.67;1.62;0.85;1.51
