Rk;PlayerN;Player;NationN;Nation;Pos;Squad;90s;CmpPass;AttPass;PassCmpR;TotDistPass;PrgDistPass;CmpShPas;AttShPas;ShPasCmp%;CmpMedPas;AttMedPas;MedPasCmp%;CmpLngPas;AttLngPas;LngPasCmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;ProgPas
1;Tammy Abraham\f586779e;Tammy Abraham;eng ENG;ENG;FW;Roma;27.2;415;569;72.9;6294;1538;252;325;77.5;111;158;70.3;35;42;83.3;3;3.2;-0.2;30;30;24;3;56
2;Francesco Acerbi\b96b595c;Francesco Acerbi;it ITA;ITA;DF;Lazio;20.2;1338;1469;91.1;28137;8848;421;449;93.8;684;721;94.9;214;270;79.3;0;0.4;-0.4;5;98;5;0;75
3;Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;Bologna;0.6;45;50;90.0;828;162;22;25;88.0;15;16;93.8;7;7;100.0;0;0.1;-0.1;1;2;0;0;3
4;Felix Afena-Gyan\0154d290;Felix Afena-Gyan;gh GHA;GHA;FW;Roma;6.0;100;132;75.8;1448;243;60;75;80.0;33;42;78.6;4;7;57.1;0;0.2;-0.2;4;3;6;2;10
5;Kevin Agudelo\46fa7204;Kevin Agudelo;co COL;COL;FWMF;Spezia;7.6;156;211;73.9;2363;713;83;100;83.0;67;84;79.8;2;11;18.2;0;0.6;-0.6;7;11;8;2;20
6;Ola Aina\246d153b;Ola Aina;ng NGA;NGA;DF;Torino;11.8;384;546;70.3;6900;3016;184;216;85.2;143;192;74.5;51;106;48.1;0;1.3;-1.3;13;34;18;5;49
7;Marley Aké\414e1f69;Marley Aké;fr FRA;FRA;FW;Juventus;0.1;4;4;100.0;74;23;1;1;100.0;1;1;100.0;1;1;100.0;0;0.0;0.0;0;0;1;1;0
8;Jean-Daniel Akpa-Akpro\fdf4b948;Jean-Daniel Akpa-Akpro;ci CIV;CIV;MF;Lazio;3.4;86;105;81.9;1172;177;51;60;85.0;28;31;90.3;2;2;100.0;0;0.0;0.0;2;5;1;0;3
9;Luis Alberto\5294a83f;Luis Alberto;es ESP;ESP;MF;Lazio;20.9;1342;1601;83.8;22865;7456;664;723;91.8;507;584;86.8;136;238;57.1;7;5.5;+1.5;51;167;42;6;143
10;Giorgio Altare\aa5322d5;Giorgio Altare;it ITA;ITA;DF;Cagliari;8.8;276;403;68.5;6351;2577;73;92;79.3;128;162;79.0;72;138;52.2;0;0.0;0.0;1;16;4;2;26
11;Kelvin Amian\bcc81786;Kelvin Amian;fr FRA;FRA;DF;Spezia;21.4;686;859;79.9;11216;5108;358;402;89.1;257;312;82.4;54;102;52.9;1;1.0;0.0;9;43;7;2;52
12;Nadiem Amiri\555d5edd;Nadiem Amiri;de GER;GER;MFFW;Genoa;1.9;47;71;66.2;759;197;26;31;83.9;16;24;66.7;5;14;35.7;0;0.1;-0.1;5;4;0;0;4
