Rk;PlayerN;Player;NationN;Nation;Pos;Squad;90s;Touches;DefPenTch;Def3rdTch;Mid3rdTch;Att3rdTch;AttPenTch;LiveTch;SuccDrib;AttDrib;Succ%Drib;Carries;TotDistCarr;PrgDistCarr;ProgCarr;1/3Carr;CPACarr;Mis;Dis;TargRec;Rec;Rec%;ProgRec
1;Tammy Abraham\f586779e;Tammy Abraham;eng ENG;ENG;FW;Roma;27.2;920;25;73;454;441;166;868;28;58;48.3;504;2146;1111;71;23;20;67;41;1146;630;55.0;190
2;Francesco Acerbi\b96b595c;Francesco Acerbi;it ITA;ITA;DF;Lazio;20.2;1661;227;850;873;49;14;1612;3;4;75.0;1083;5862;3394;73;14;0;6;3;1208;1189;98.4;7
3;Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;Bologna;0.6;58;4;15;35;11;0;57;0;0;;42;139;79;4;0;0;0;1;46;44;95.7;0
4;Felix Afena-Gyan\0154d290;Felix Afena-Gyan;gh GHA;GHA;FW;Roma;6.0;250;0;15;102;158;41;241;8;21;38.1;194;952;619;24;15;5;31;23;309;177;57.3;52
5;Kevin Agudelo\46fa7204;Kevin Agudelo;co COL;COL;FWMF;Spezia;7.6;341;6;54;181;149;25;335;18;34;52.9;266;1437;881;40;18;5;15;31;290;226;77.9;40
6;Ola Aina\246d153b;Ola Aina;ng NGA;NGA;DF;Torino;11.8;719;39;167;343;262;24;624;14;28;50.0;392;2231;1334;61;24;10;19;14;474;403;85.0;33
7;Marley Aké\414e1f69;Marley Aké;fr FRA;FRA;FW;Juventus;0.1;5;0;1;1;4;0;5;0;0;;4;6;2;0;0;0;0;1;4;4;100.0;1
8;Jean-Daniel Akpa-Akpro\fdf4b948;Jean-Daniel Akpa-Akpro;ci CIV;CIV;MF;Lazio;3.4;157;7;37;91;39;1;157;7;12;58.3;112;401;190;3;2;0;4;5;123;101;82.1;11
9;Luis Alberto\5294a83f;Luis Alberto;es ESP;ESP;MF;Lazio;20.9;1766;13;252;1009;645;29;1614;22;36;61.1;1315;6604;3951;167;78;8;14;23;1514;1388;91.7;78
10;Giorgio Altare\aa5322d5;Giorgio Altare;it ITA;ITA;DF;Cagliari;8.8;515;68;242;233;62;12;477;5;7;71.4;260;1302;611;19;11;0;2;1;258;241;93.4;2
