Rk;PlayerN;Player;NationN;Nation;Pos;Squad;90s;Gls;ShTot;SoTar;SoTarR;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FKSh;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG
1;Tammy Abraham\f586779e;Tammy Abraham;eng ENG;ENG;FW;Roma;27.2;15;82;29;35.4;3.02;1.07;0.16;0.45;12.0;2;2;2;18.0;16.5;0.20;-3.0;-3.5
2;Francesco Acerbi\b96b595c;Francesco Acerbi;it ITA;ITA;DF;Lazio;20.2;3;10;3;30.0;0.50;0.15;0.30;1.00;9.7;0;0;0;1.3;1.3;0.13;+1.7;+1.7
3;Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;Bologna;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
4;Felix Afena-Gyan\0154d290;Felix Afena-Gyan;gh GHA;GHA;FW;Roma;6.0;2;16;7;43.8;2.67;1.17;0.13;0.29;16.1;0;0;0;1.6;1.6;0.10;+0.4;+0.4
5;Kevin Agudelo\46fa7204;Kevin Agudelo;co COL;COL;FWMF;Spezia;7.6;2;12;6;50.0;1.58;0.79;0.17;0.33;16.6;0;0;0;1.4;1.4;0.12;+0.6;+0.6
6;Ola Aina\246d153b;Ola Aina;ng NGA;NGA;DF;Torino;11.8;0;8;2;25.0;0.68;0.17;0.00;0.00;22.3;0;0;0;0.2;0.2;0.03;-0.2;-0.2
7;Marley Aké\414e1f69;Marley Aké;fr FRA;FRA;FW;Juventus;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
8;Jean-Daniel Akpa-Akpro\fdf4b948;Jean-Daniel Akpa-Akpro;ci CIV;CIV;MF;Lazio;3.4;0;2;0;0.0;0.60;0.00;0.00;;17.1;0;0;0;0.4;0.4;0.20;-0.4;-0.4
9;Luis Alberto\5294a83f;Luis Alberto;es ESP;ESP;MF;Lazio;20.9;4;35;12;34.3;1.67;0.57;0.11;0.33;19.7;1;0;0;3.0;3.0;0.09;+1.0;+1.0
10;Giorgio Altare\aa5322d5;Giorgio Altare;it ITA;ITA;DF;Cagliari;8.8;0;11;3;27.3;1.25;0.34;0.00;0.00;11.1;0;0;0;1.0;1.0;0.09;-1.0;-1.0
11;Kelvin Amian\bcc81786;Kelvin Amian;fr FRA;FRA;DF;Spezia;21.4;0;19;5;26.3;0.89;0.23;0.00;0.00;17.0;0;0;0;1.1;1.1;0.06;-1.1;-1.1
12;Nadiem Amiri\555d5edd;Nadiem Amiri;de GER;GER;MFFW;Genoa;1.9;0;3;0;0.0;1.61;0.00;0.00;;24.2;1;0;0;0.2;0.2;0.06;-0.2;-0.2
13;Ethan Ampadu\10b9fa99;Ethan Ampadu;wls WAL;WAL;MFDF;Venezia;18.4;0;4;1;25.0;0.22;0.05;0.00;0.00;15.7;0;0;0;0.2;0.2;0.04;-0.2;-0.2
14;Sofyan Amrabat\5a2cb25d;Sofyan Amrabat;ma MAR;MAR;MF;Fiorentina;5.1;1;1;1;100.0;0.20;0.20;1.00;1.00;25.0;0;0;0;0.0;0.0;0.04;+1.0;+1.0
15;Felipe Anderson\9f1893b9;Felipe Anderson;br BRA;BRA;FW;Lazio;24.2;5;31;10;32.3;1.28;0.41;0.16;0.50;16.0;0;0;0;4.2;4.2;0.13;+0.8;+0.8
16;Ebenezer Annan\39aa05a7;Ebenezer Annan;gh GHA;GHA;DF;Bologna;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
17;Cristian Ansaldi\bbafc0c4;Cristian Ansaldi;ar ARG;ARG;DF;Torino;5.9;0;5;1;20.0;0.85;0.17;0.00;0.00;19.5;0;0;0;0.2;0.2;0.04;-0.2;-0.2
18;Janis Antiste\38d9ce53;Janis Antiste;fr FRA;FRA;FWMF;Spezia;6.9;1;11;2;18.2;1.60;0.29;0.09;0.50;10.2;0;0;0;1.4;1.4;0.13;-0.4;-0.4
19;Mattia Aramu\0847b5a5;Mattia Aramu;it ITA;ITA;MFFW;Venezia;17.6;5;37;11;29.7;2.10;0.62;0.08;0.27;24.9;11;2;3;4.9;2.6;0.07;+0.1;+0.4
20;Marko Arnautovi?\00459419;Marko Arnautovi?;at AUT;AUT;FW;Bologna;23.3;9;65;21;32.3;2.80;0.90;0.11;0.33;15.1;3;2;3;9.9;7.7;0.12;-0.9;-0.7
21;Tolgay Arslan\963a328b;Tolgay Arslan;de GER;GER;MF;Udinese;15.8;1;21;9;42.9;1.33;0.57;0.05;0.11;21.7;1;0;0;1.2;1.2;0.06;-0.2;-0.2
22;Arthur\a820e429;Arthur;br BRA;BRA;FW;Fiorentina;1.7;1;2;2;100.0;1.20;1.20;0.50;0.50;7.0;0;0;0;0.9;0.9;0.47;+0.1;+0.1
23;Kristoffer Askildsen\a69cc629;Kristoffer Askildsen;no NOR;NOR;MF;Sampdoria;8.1;0;7;0;0.0;0.87;0.00;0.00;;17.5;0;0;0;0.3;0.3;0.04;-0.3;-0.3
24;Kristjan Asllani\0fdcef0e;Kristjan Asllani;al ALB;ALB;MF;Empoli;7.9;0;8;3;37.5;1.01;0.38;0.00;0.00;26.6;0;0;0;0.2;0.2;0.02;-0.2;-0.2
