Rk;PlayerN;Player;NationN;Nation;Pos;Squad;SCA;SCA90;PassLiveSCA;PassDeadSCA;DribSCA;ShSCA;FldSCA;DefSCA;GCA;GCA90;PassLiveGCA;PassDeadGCA;DribGCA;ShGCA
1;Tammy Abraham\f586779e;Tammy Abraham;eng ENG;ENG;FW;Roma;72;2.65;50;1;1;13;5;2;10;0.37;4;0;1;3
2;Francesco Acerbi\b96b595c;Francesco Acerbi;it ITA;ITA;DF;Lazio;13;0.64;10;1;0;1;1;0;1;0.05;0;0;0;0
3;Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;Bologna;2;3.40;1;0;0;0;0;1;0;0.00;0;0;0;0
4;Felix Afena-Gyan\0154d290;Felix Afena-Gyan;gh GHA;GHA;FW;Roma;17;2.84;11;0;1;2;2;1;2;0.33;1;0;1;0
5;Kevin Agudelo\46fa7204;Kevin Agudelo;co COL;COL;FWMF;Spezia;22;2.89;11;0;3;1;3;4;3;0.39;1;0;0;0
6;Ola Aina\246d153b;Ola Aina;ng NGA;NGA;DF;Torino;26;2.20;23;1;2;0;0;0;0;0.00;0;0;0;0
7;Marley Aké\414e1f69;Marley Aké;fr FRA;FRA;FW;Juventus;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0
8;Jean-Daniel Akpa-Akpro\fdf4b948;Jean-Daniel Akpa-Akpro;ci CIV;CIV;MF;Lazio;2;0.60;2;0;0;0;0;0;0;0.00;0;0;0;0
9;Luis Alberto\5294a83f;Luis Alberto;es ESP;ESP;MF;Lazio;88;4.21;58;23;1;2;3;1;12;0.57;7;4;0;1
10;Giorgio Altare\aa5322d5;Giorgio Altare;it ITA;ITA;DF;Cagliari;8;0.91;5;0;0;3;0;0;0;0.00;0;0;0;0
11;Kelvin Amian\bcc81786;Kelvin Amian;fr FRA;FRA;DF;Spezia;20;0.93;15;1;0;2;2;0;1;0.05;1;0;0;0
12;Nadiem Amiri\555d5edd;Nadiem Amiri;de GER;GER;MFFW;Genoa;7;3.75;6;0;1;0;0;0;0;0.00;0;0;0;0
13;Ethan Ampadu\10b9fa99;Ethan Ampadu;wls WAL;WAL;MFDF;Venezia;26;1.41;26;0;0;0;0;0;4;0.22;4;0;0;0
14;Sofyan Amrabat\5a2cb25d;Sofyan Amrabat;ma MAR;MAR;MF;Fiorentina;8;1.57;6;0;0;0;1;1;0;0.00;0;0;0;0
15;Felipe Anderson\9f1893b9;Felipe Anderson;br BRA;BRA;FW;Lazio;82;3.39;65;3;6;1;7;0;14;0.58;10;0;4;0
16;Ebenezer Annan\39aa05a7;Ebenezer Annan;gh GHA;GHA;DF;Bologna;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0
17;Cristian Ansaldi\bbafc0c4;Cristian Ansaldi;ar ARG;ARG;DF;Torino;20;3.38;13;3;2;1;1;0;4;0.68;4;0;0;0
18;Janis Antiste\38d9ce53;Janis Antiste;fr FRA;FRA;FWMF;Spezia;10;1.45;7;0;2;1;0;0;0;0.00;0;0;0;0
19;Mattia Aramu\0847b5a5;Mattia Aramu;it ITA;ITA;MFFW;Venezia;59;3.35;25;16;4;2;10;2;8;0.45;6;1;0;0
20;Marko Arnautovi?\00459419;Marko Arnautovi?;at AUT;AUT;FW;Bologna;65;2.80;50;0;4;8;2;1;5;0.22;4;0;0;1
21;Tolgay Arslan\963a328b;Tolgay Arslan;de GER;GER;MF;Udinese;33;2.23;19;4;0;4;4;2;5;0.34;1;0;0;2
22;Arthur\a820e429;Arthur;br BRA;BRA;FW;Fiorentina;2;1.20;2;0;0;0;0;0;1;0.60;1;0;0;0
23;Kristoffer Askildsen\a69cc629;Kristoffer Askildsen;no NOR;NOR;MF;Sampdoria;7;0.87;6;0;1;0;0;0;1;0.12;1;0;0;0
24;Kristjan Asllani\0fdcef0e;Kristjan Asllani;al ALB;ALB;MF;Empoli;15;1.89;12;0;1;1;1;0;1;0.13;1;0;0;0
25;Emil Audero\649b01d8;Emil Audero;it ITA;ITA;GK;Sampdoria;3;0.15;2;1;0;0;0;0;0;0.00;0;0;0;0
26;Tommaso Augello\3cd3b384;Tommaso Augello;it ITA;ITA;DF;Sampdoria;30;1.44;24;3;1;0;1;1;1;0.05;1;0;0;0
