Rk;PlayerN;Player;NationN;Nation;Pos;Squad;MP;Starts;Min;90s;Gls;Ast;GmPK;PK;PKatt;Gls90;Ast90;GA90;GmPK90;GAmPK;xG;npxG;xA;npxGxA;xG90;xA90;xGxA90;npxG90;npxGxA90
1;Tammy Abraham\f586779e;Tammy Abraham;eng ENG;ENG;FW;Roma;29;29;2446;27.2;15;3;13;2;2;0.55;0.11;0.66;0.48;0.59;18.0;16.5;3.2;19.7;0.66;0.12;0.78;0.61;0.73
2;Francesco Acerbi\b96b595c;Francesco Acerbi;it ITA;ITA;DF;Lazio;22;21;1816;20.2;3;0;3;0;0;0.15;0.00;0.15;0.15;0.15;1.3;1.3;0.4;1.6;0.06;0.02;0.08;0.06;0.08
3;Michel Aebischer\f9c927de;Michel Aebischer;ch SUI;SUI;MF;Bologna;4;0;53;0.6;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.11;0.11;0.00;0.11
4;Felix Afena-Gyan\0154d290;Felix Afena-Gyan;gh GHA;GHA;FW;Roma;14;4;539;6.0;2;0;2;0;0;0.33;0.00;0.33;0.33;0.33;1.6;1.6;0.2;1.8;0.26;0.03;0.30;0.26;0.30
5;Kevin Agudelo\46fa7204;Kevin Agudelo;co COL;COL;FWMF;Spezia;15;5;685;7.6;2;0;2;0;0;0.26;0.00;0.26;0.26;0.26;1.4;1.4;0.6;2.0;0.19;0.08;0.27;0.19;0.27
6;Ola Aina\246d153b;Ola Aina;ng NGA;NGA;DF;Torino;16;13;1066;11.8;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;1.3;1.5;0.02;0.11;0.13;0.02;0.13
7;Marley Aké\414e1f69;Marley Aké;fr FRA;FRA;FW;Juventus;1;0;5;0.1;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00
8;Jean-Daniel Akpa-Akpro\fdf4b948;Jean-Daniel Akpa-Akpro;ci CIV;CIV;MF;Lazio;8;4;302;3.4;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.4;0.12;0.01;0.13;0.12;0.13
9;Luis Alberto\5294a83f;Luis Alberto;es ESP;ESP;MF;Lazio;27;21;1883;20.9;4;7;4;0;0;0.19;0.33;0.53;0.19;0.53;3.0;3.0;5.5;8.5;0.14;0.26;0.41;0.14;0.41
10;Giorgio Altare\aa5322d5;Giorgio Altare;it ITA;ITA;DF;Cagliari;11;9;795;8.8;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.0;1.0;0.0;1.0;0.11;0.00;0.11;0.11;0.11
11;Kelvin Amian\bcc81786;Kelvin Amian;fr FRA;FRA;DF;Spezia;24;23;1926;21.4;0;1;0;0;0;0.00;0.05;0.05;0.00;0.05;1.1;1.1;1.0;2.1;0.05;0.05;0.10;0.05;0.10
12;Nadiem Amiri\555d5edd;Nadiem Amiri;de GER;GER;MFFW;Genoa;5;2;168;1.9;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.2;0.09;0.04;0.13;0.09;0.13
13;Ethan Ampadu\10b9fa99;Ethan Ampadu;wls WAL;WAL;MFDF;Venezia;22;19;1654;18.4;0;2;0;0;0;0.00;0.11;0.11;0.00;0.11;0.2;0.2;1.4;1.5;0.01;0.07;0.08;0.01;0.08
14;Sofyan Amrabat\5a2cb25d;Sofyan Amrabat;ma MAR;MAR;MF;Fiorentina;16;3;460;5.1;1;0;1;0;0;0.20;0.00;0.20;0.20;0.20;0.0;0.0;0.1;0.1;0.01;0.02;0.02;0.01;0.02
15;Felipe Anderson\9f1893b9;Felipe Anderson;br BRA;BRA;FW;Lazio;30;25;2175;24.2;5;5;5;0;0;0.21;0.21;0.41;0.21;0.41;4.2;4.2;5.6;9.8;0.17;0.23;0.41;0.17;0.41
16;Ebenezer Annan\39aa05a7;Ebenezer Annan;gh GHA;GHA;DF;Bologna;1;0;25;0.3;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00
17;Cristian Ansaldi\bbafc0c4;Cristian Ansaldi;ar ARG;ARG;DF;Torino;14;4;532;5.9;0;3;0;0;0;0.00;0.51;0.51;0.00;0.51;0.2;0.2;1.0;1.3;0.03;0.18;0.21;0.03;0.21
18;Janis Antiste\38d9ce53;Janis Antiste;fr FRA;FRA;FWMF;Spezia;12;8;619;6.9;1;0;1;0;0;0.15;0.00;0.15;0.15;0.15;1.4;1.4;0.2;1.7;0.21;0.03;0.24;0.21;0.24
19;Mattia Aramu\0847b5a5;Mattia Aramu;it ITA;ITA;MFFW;Venezia;24;20;1584;17.6;5;4;3;2;3;0.28;0.23;0.51;0.17;0.40;4.9;2.6;3.6;6.3;0.28;0.21;0.49;0.15;0.36
20;Marko Arnautovi?\00459419;Marko Arnautovi?;at AUT;AUT;FW;Bologna;26;25;2093;23.3;9;1;7;2;3;0.39;0.04;0.43;0.30;0.34;9.9;7.7;3.3;11.0;0.43;0.14;0.57;0.33;0.47
21;Tolgay Arslan\963a328b;Tolgay Arslan;de GER;GER;MF;Udinese;24;18;1423;15.8;1;0;1;0;0;0.06;0.00;0.06;0.06;0.06;1.2;1.2;1.3;2.5;0.08;0.09;0.17;0.08;0.17
22;Arthur\a820e429;Arthur;br BRA;BRA;FW;Fiorentina;5;1;150;1.7;1;1;1;0;0;0.60;0.60;1.20;0.60;1.20;0.9;0.9;0.0;1.0;0.56;0.02;0.59;0.56;0.59
23;Kristoffer Askildsen\a69cc629;Kristoffer Askildsen;no NOR;NOR;MF;Sampdoria;17;7;727;8.1;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.2;0.4;0.03;0.02;0.05;0.03;0.05
24;Kristjan Asllani\0fdcef0e;Kristjan Asllani;al ALB;ALB;MF;Empoli;15;7;714;7.9;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.6;0.8;0.02;0.08;0.10;0.02;0.10
25;Emil Audero\649b01d8;Emil Audero;it ITA;ITA;GK;Sampdoria;21;21;1845;20.5;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00
26;Tommaso Augello\3cd3b384;Tommaso Augello;it ITA;ITA;DF;Sampdoria;28;20;1874;20.8;1;0;1;0;0;0.05;0.00;0.05;0.05;0.05;0.2;0.2;1.2;1.4;0.01;0.06;0.07;0.01;0.07
27;Ramzi Aya\6a1f66a7;Ramzi Aya;it ITA;ITA;DF;Salernitana;2;2;135;1.5;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.03;0.00;0.03;0.03;0.03
28;Kaan Ayhan\2200181e;Kaan Ayhan;tr TUR;TUR;DF;Sassuolo;17;9;858;9.5;1;0;1;0;0;0.10;0.00;0.10;0.10;0.10;0.2;0.2;0.0;0.2;0.02;0.00;0.02;0.02;0.02
29;Milan Badelj\e8c930bb;Milan Badelj;hr CRO;CRO;MF;Genoa;27;27;2298;25.5;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;2.1;2.7;0.02;0.08;0.11;0.02;0.11
